vehicle_id,vehicle_type,vehicle_desc,make_id,make_name,make_type,model_year,color,date_stolen,year_stolen,month_stolen,location_id,region,country,population,density,area
1,Trailer,BST2021D,623,Trailer,Standard,2021,Silver,2021-11-05,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
3,Boat Trailer,ASD JETSKI,623,Trailer,Standard,2021,Silver,2022-02-13,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
5,Trailer,D-MAX 8X5,623,Trailer,Standard,2018,Silver,2022-01-10,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
17,Trailer,BSTB85B,623,Trailer,Standard,2021,Silver,2021-10-10,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
24,Trailer - Heavy,CT DIG 25,623,Trailer,Standard,2021,Silver,2021-11-12,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
30,Trailer,PRO COMMERCIAL,623,Trailer,Standard,2018,Silver,2021-12-21,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
31,Trailer,FACTORY,623,Trailer,Standard,2018,Grey,2022-01-03,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
34,Trailer,BST 2021D,623,Trailer,Standard,2021,Silver,2022-01-05,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
37,Trailer,COMPASS-KH63,623,Trailer,Standard,2018,Silver,2022-02-23,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
42,Trailer,HOMEMADE,623,Trailer,Standard,2002,Silver,2022-01-02,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
43,Boat Trailer,BST58OR,623,Trailer,Standard,2018,Silver,2022-02-24,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
47,Trailer - Heavy,TANDEM,623,Trailer,Standard,2004,Grey,2021-11-05,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
49,Trailer,DOMESTIC,623,Trailer,Standard,2021,Grey,2021-10-22,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
56,Trailer - Heavy,BRIFORD,623,Trailer,Standard,2000,Yellow,2022-03-05,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
57,Boat Trailer,ASD JETSKI,623,Trailer,Standard,2021,Silver,2022-02-21,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
59,Trailer,HOMEBUILT,623,Trailer,Standard,2021,Black,2022-03-06,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
61,Trailer,TRAILERWORLD 9X5 HSB,623,Trailer,Standard,2021,Silver,2022-03-26,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
62,Trailer,SINGLE AXLE,623,Trailer,Standard,2018,Silver,2021-10-10,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
72,Trailer,ELITE,623,Trailer,Standard,2014,Silver,2022-02-04,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
76,Trailer,7 X 4 STD,623,Trailer,Standard,2015,Silver,2022-01-05,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
77,Trailer,HOMEBUILT,623,Trailer,Standard,2011,Grey,2022-04-02,2022,April,102,Auckland,New Zealand,1695200,343.09,4940.978
81,Trailer,COMPASS D105,623,Trailer,Standard,2015,Silver,2021-10-18,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
88,Trailer,LOCAL,623,Trailer,Standard,1984,Yellow,2022-03-21,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
94,Trailer,COMPASS-C85,623,Trailer,Standard,2018,Silver,2022-03-18,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
99,Trailer,HOMEBUILT,623,Trailer,Standard,2022,Black,2022-02-14,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
103,Trailer,MARTIN ENGINEERING,623,Trailer,Standard,1998,White,2022-03-28,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
109,Trailer,TRAILER,623,Trailer,Standard,2022,Silver,2022-02-09,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
120,Trailer,VULCAN,623,Trailer,Standard,2022,Silver,2022-03-04,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
127,Boat Trailer,REID,623,Trailer,Standard,2000,Silver,2022-02-03,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
147,Trailer,DOMESTIC,623,Trailer,Standard,2019,Grey,2022-03-09,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
174,Boat Trailer,BOAT,623,Trailer,Standard,2012,Silver,2021-12-22,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
175,Trailer - Heavy,MM INDUSTRIES,623,Trailer,Standard,2019,Silver,2021-10-11,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
178,Boat Trailer,BOAT TRAILER,623,Trailer,Standard,2019,Silver,2022-02-12,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
186,Trailer,HOMEMADE,623,Trailer,Standard,1981,Grey,2022-02-16,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
193,Trailer,TUFF,623,Trailer,Standard,2019,Silver,2021-11-01,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
194,Caravan,DMW,623,Trailer,Standard,2006,White,2021-12-07,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
198,Trailer,LOCAL,623,Trailer,Standard,1999,Silver,2022-02-02,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
210,Trailer,TRADETESTED 7 X 4,623,Trailer,Standard,2015,Silver,2021-10-12,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
211,Trailer,VULCAN,623,Trailer,Standard,2015,Silver,2021-11-01,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
237,Trailer,DOMESTIC TRAILER,623,Trailer,Standard,2002,Grey,2021-12-29,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
239,Trailer,KEA,623,Trailer,Standard,2016,Silver,2021-10-14,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
244,Boat Trailer,HOMEBUILT,623,Trailer,Standard,2019,Silver,2021-12-15,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
248,Boat Trailer,BOAT,623,Trailer,Standard,2019,Silver,2022-03-04,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
263,Trailer,UTILITY,623,Trailer,Standard,2016,Silver,2022-03-22,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
272,Trailer - Heavy,GT TRAILER,623,Trailer,Standard,2016,Silver,2021-10-29,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
274,Trailer - Heavy,MAINLINE TANKER,623,Trailer,Standard,2013,Grey,2021-11-08,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
278,Trailer,COMPASS KH85T,623,Trailer,Standard,2016,Silver,2022-02-23,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
282,Trailer,TUFF,623,Trailer,Standard,2016,Silver,2021-11-01,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
286,Boat Trailer,AAA375 AAKRON,623,Trailer,Standard,2016,Silver,2022-01-29,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
288,Trailer,VULCAN,623,Trailer,Standard,2016,Silver,2021-10-31,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
296,Boat Trailer,HOSKING,623,Trailer,Standard,2000,Silver,2021-12-26,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
307,Boat Trailer,ASD JETSKI,623,Trailer,Standard,2020,Silver,2022-01-04,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
314,Boat Trailer,JEYSKI ACTION LAB,623,Trailer,Standard,2019,Grey,2022-01-20,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
321,Trailer,DOMESTIC,623,Trailer,Standard,2020,Silver,2022-02-03,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
324,Trailer,FUTURA,623,Trailer,Standard,2020,Grey,2022-01-13,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
325,Boat Trailer,DMW,623,Trailer,Standard,2020,Silver,2021-11-21,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
335,Trailer,DOMESTIC,623,Trailer,Standard,2016,Silver,2022-03-30,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
343,Trailer - Heavy,GT,623,Trailer,Standard,2016,Silver,2022-02-01,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
359,Trailer,HOMEBUILT,623,Trailer,Standard,2020,Black,2022-03-03,2022,March,102,Auckland,New Zealand,1695200,343.09,4940.978
363,Trailer,DOMESTIC,623,Trailer,Standard,2020,Grey,2022-02-27,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
372,Trailer,TUFF,623,Trailer,Standard,2020,Silver,2021-10-18,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
376,Trailer,DOMESTIC,623,Trailer,Standard,2020,Grey,2021-12-13,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
380,Trailer,BOAT,623,Trailer,Standard,2020,Silver,2021-11-26,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
383,Boat Trailer,BOAT,623,Trailer,Standard,2020,Silver,2022-01-13,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
405,Trailer,TRAILER PRO,623,Trailer,Standard,2017,Silver,2022-02-14,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
410,Trailer - Heavy,EXCAVATOR TRAILER,623,Trailer,Standard,2017,Silver,2021-12-31,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
412,Trailer,VULCAN,623,Trailer,Standard,2017,Silver,2021-11-18,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
415,Trailer - Heavy,GT TRAILER,623,Trailer,Standard,2017,Silver,2022-02-23,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
433,Trailer,DOMESTIC TRAILER,623,Trailer,Standard,1981,Yellow,2022-04-01,2022,April,102,Auckland,New Zealand,1695200,343.09,4940.978
448,Boat Trailer,CRUISER,623,Trailer,Standard,2020,Silver,2021-12-15,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
455,Trailer - Heavy,GT PRODUCTS,623,Trailer,Standard,1998,Grey,2021-11-15,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
469,Trailer,BES1500,623,Trailer,Standard,2017,Silver,2021-12-23,2021,December,102,Auckland,New Zealand,1695200,343.09,4940.978
470,Trailer,PL27084 ACCESS,623,Trailer,Standard,2017,Silver,2021-11-11,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
476,Trailer,VULCAN C8X5T,623,Trailer,Standard,2017,Silver,2021-10-17,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
477,Trailer,TOP GEAR,623,Trailer,Standard,2017,Black,2021-10-27,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
483,Trailer,TRAILER PRO,623,Trailer,Standard,2017,Silver,2021-10-21,2021,October,102,Auckland,New Zealand,1695200,343.09,4940.978
486,Trailer,IFOR WILLIAMS,623,Trailer,Standard,2017,Silver,2022-02-25,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
493,Boat Trailer,BOAT TRAILER,623,Trailer,Standard,1990,White,2022-01-18,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
495,Trailer,CAR TRANSPORTER,623,Trailer,Standard,2021,Grey,2021-11-24,2021,November,102,Auckland,New Zealand,1695200,343.09,4940.978
498,Trailer,ROADCHIEF,623,Trailer,Standard,2021,Silver,2022-01-28,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
500,Trailer - Heavy,BRENT SMITH TB1,623,Trailer,Standard,2021,Silver,2022-01-18,2022,January,102,Auckland,New Zealand,1695200,343.09,4940.978
505,Trailer,TUI TRAILERS,623,Trailer,Standard,2021,Grey,2022-02-21,2022,Feburary,102,Auckland,New Zealand,1695200,343.09,4940.978
